unique_sample_id,class_id,class_name,component_id,area_pixels,centroid_y,centroid_x
Normal__N_23.jpg,5,T5,9,984,187.5691056910569,142.23069105691056
Normal__N_23.jpg,5,T5,16,178,184.25280898876406,87.43258426966293
Normal__N_23.jpg,5,T5,35,403,210.33250620347394,122.13399503722084
Normal__N_23.jpg,6,T6,1,31,176.19354838709677,93.93548387096774
Normal__N_23.jpg,6,T6,2,2313,205.97622135754432,125.12537829658453
Normal__N_23.jpg,6,T6,11,76,184.35526315789474,163.93421052631578
Normal__N_23.jpg,7,T7,1,2583,236.75300038714673,115.95896244676733
Normal__N_23.jpg,8,T8,4,2673,266.7283950617284,120.39094650205762
Normal__N_23.jpg,9,T9,1,2829,295.3255567338282,116.84870979144574
Normal__N_23.jpg,10,T10,1,3444,324.68408826945415,119.71922183507549
Normal__N_23.jpg,11,T11,1,2997,354.48415081748414,124.76776776776777
Normal__N_23.jpg,12,T12,1,4533,386.4030443414957,134.40657401279506
Normal__N_23.jpg,12,T12,6,122,436.23770491803276,94.44262295081967
Normal__N_23.jpg,13,L1,4,3928,421.6489307535642,143.834266802444
Normal__N_23.jpg,14,L2,1,4720,457.864406779661,159.3760593220339
Normal__N_23.jpg,15,L3,2,4771,496.98176482917626,162.37141060574302
Normal__N_23.jpg,16,L4,3,5553,534.4831622546371,164.2245632991176
Normal__N_23.jpg,17,L5,1,6807,573.0547965329807,157.9739973556633
Normal__N_24.jpg,1,T1,1,3174,70.17359798361689,176.437618147448
Normal__N_24.jpg,2,T2,1,1685,94.8373887240356,174.87833827893175
Normal__N_24.jpg,3,T3,1,3678,124.93583469276781,172.82408917890157
Normal__N_24.jpg,3,T3,5,99,156.72727272727272,187.85858585858585
Normal__N_24.jpg,3,T3,6,100,159.73,147.03
Normal__N_24.jpg,3,T3,10,61,164.9016393442623,183.81967213114754
Normal__N_24.jpg,4,T4,2,1164,159.8659793814433,169.20103092783506
Normal__N_24.jpg,5,T5,2,1369,181.12563915266617,169.38422205989772
Normal__N_24.jpg,6,T6,2,2145,202.15337995337995,166.26620046620047
Normal__N_24.jpg,7,T7,1,3174,235.42060491493385,170.4936988027725
Normal__N_24.jpg,8,T8,1,2027,266.5870744943266,176.7982239763197
Normal__N_24.jpg,9,T9,2,2242,292.39027653880464,180.84879571810882
Normal__N_24.jpg,10,T10,1,2736,319.12719298245617,172.56213450292398
Normal__N_24.jpg,11,T11,1,3237,350.317578004325,173.88785912882298
